YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2015,2015,AZ,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,3.00,3,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2019,2019,HI,Hawaii,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,5.98,5.98,,,,,Overall,Overall,,,,,POINT (-157.85774940299973 21.304850435000446),,15,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2019,2019,ID,Idaho,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.15,0.15,,,,,Overall,Overall,,,,,POINT (-114.3637300419997 43.682630005000476),,16,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2012,2012,NC,North Carolina,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,1.00,1,,,,,Overall,Overall,,,,,POINT (-79.15925046299964 35.466220975000454),,37,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2012,2012,NV,Nevada,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.16,0.16,,,,,Overall,Overall,,,,,POINT (-117.07184056399967 39.493240390000494),,32,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2017,2017,CA,California,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.20,0.2,,,,,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2012,2012,FL,Florida,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,6.50,6.5,,,,,Overall,Overall,,,,,POINT (-81.92896053899966 28.932040377000476),,12,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2019,2019,AR,Arkansas,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,0.75,0.75,,,,,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2012,2012,AZ,Arizona,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,3.00,3,,,,,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2017,2017,HI,Hawaii,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,1.38,1.38,,,,,Overall,Overall,,,,,POINT (-157.85774940299973 21.304850435000446),,15,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2019,2019,IL,Illinois,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,8.55,8.55,,,,,Overall,Overall,,,,,POINT (-88.99771017799969 40.48501028300046),,17,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2020,2020,VT,Vermont,APIS,Alcohol,Amount of alcohol excise tax by beverage type (beer),,$,US Dollars,0.27,0.27,,,,,Overall,Overall,,,,,POINT (-72.51764079099962 43.62538123900049),,50,ALC,ALC8_0_1,USD,OVERALL,OVR,,,,
2017,2017,IN,Indiana,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,2.68,2.68,,,,,Overall,Overall,,,,,POINT (-86.14996019399968 39.766910452000445),,18,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2017,2017,ND,North Dakota,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,2.50,2.5,,,,,Overall,Overall,,,,,POINT (-100.11842104899966 47.47531977900047),,38,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
2020,2020,VI,Virgin Islands,APIS,Alcohol,Amount of alcohol excise tax by beverage type (wine),,$,US Dollars,,,-,No data available,,,Overall,Overall,,,,,POINT (-64.896335 18.335765),,78,ALC,ALC8_0_2,USD,OVERALL,OVR,,,,
2015,2015,AL,Alabama,APIS,Alcohol,Amount of alcohol excise tax by beverage type (distilled spirits),,$,US Dollars,,,^^,"State directly controlled the sale of (beer/wine/distilled spirits) at the retail and/or wholesale levels. State prices for (beer/wine/distilled spirits) combined both markups and taxes, so tax rates for this beverage type could not be determined.",,,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC8_0_3,USD,OVERALL,OVR,,,,
