YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2012,2012,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.1,9.1,,,7.9,10.3,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2014,2014,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.2,8.2,,,7.1,9.4,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2018,2018,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.0,9,,,7.6,10.6,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2017,2017,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.4,8.4,,,6.9,10.2,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.0,9,,,7.4,10.8,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2015,2015,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.3,9.3,,,7.7,11.3,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2013,2013,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.4,9.4,,,8.1,10.8,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2011,2011,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.5,8.5,,,7.3,9.9,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2019,2019,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.7,9.7,,,8.1,11.5,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2017,2017,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.9,10.9,,,9.8,12.1,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2019,2019,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.4,9.4,,,8.5,10.5,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2015,2015,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.9,9.9,,,8.9,10.9,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2013,2013,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.5,8.5,,,7.6,9.6,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2011,2011,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.0,8,,,7.1,9,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2018,2018,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,10.4,10.4,,,9.4,11.6,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2014,2014,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.5,9.5,,,8.6,10.4,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.8,9.8,,,8.8,10.9,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2012,2012,AL,Alabama,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.5,8.5,,,7.7,9.5,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2019,2019,AZ,Arizona,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.8,9.8,,,8.8,10.9,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2012,2012,AR,Arkansas,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.7,8.7,,,7.6,9.8,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,AR,Arkansas,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.5,8.5,,,7.2,10,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2017,2017,AZ,Arizona,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.7,9.7,,,9.1,10.4,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2015,2015,AZ,Arizona,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.3,9.3,,,8.4,10.3,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2011,2011,AR,Arkansas,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.5,9.5,,,8.1,11,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
2013,2013,AZ,Arizona,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.9,8.9,,,7.6,10.4,Overall,Overall,,,,,POINT (-111.76381127699972 34.865970280000454),,04,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
