YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2015,2015,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,20.0,20,,,17.8,22.3,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2011,2011,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,20.1,20.1,,,18.2,22.1,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2013,2013,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,19.5,19.5,,,17.8,21.3,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2018,2018,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,15.8,15.8,,,13.8,18.1,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2019,2019,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,16.0,16,,,13.9,18.4,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2017,2017,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,19.5,19.5,,,17.1,22.1,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,17.8,17.8,,,15.7,20.2,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2014,2014,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,19.8,19.8,,,18.1,21.6,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2012,2012,AK,Alaska,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,16.2,16.2,,,14.7,17.8,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
2015,2015,AL,Alabama,BRFSS,Alcohol,Binge drinking prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,12.2,12.2,,,11.1,13.4,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC2_2,AGEADJPREV,OVERALL,OVR,,,,
