YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2013,2013,AR,Arkansas,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,279.1,279.1,,,273.5,284.7,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,CVD,CVD1_1,AGEADJRATE,OVERALL,OVR,,,,
2017,2017,AK,Alaska,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,187.5,187.5,,,175.8,199.1,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,CVD,CVD1_1,AGEADJRATE,OVERALL,OVR,,,,
2013,2013,AK,Alaska,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,189.5,189.5,,,176.7,202.3,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,CVD,CVD1_1,AGEADJRATE,OVERALL,OVR,,,,
2016,2016,AK,Alaska,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,192.3,192.3,,,180.2,204.4,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,CVD,CVD1_1,AGEADJRATE,OVERALL,OVR,,,,
2011,2011,AL,Alabama,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,298.5,298.5,,,293.8,303.2,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,CVD,CVD1_1,AGEADJRATE,OVERALL,OVR,,,,
2010,2010,AK,Alaska,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,209.2,209.2,,,194.7,223.6,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,CVD,CVD1_1,AGEADJRATE,OVERALL,OVR,,,,
2018,2018,AK,Alaska,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,185.3,185.3,,,173.9,196.7,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,CVD,CVD1_1,AGEADJRATE,OVERALL,OVR,,,,
2014,2014,AR,Arkansas,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,278.7,278.7,,,273.1,284.3,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,CVD,CVD1_1,AGEADJRATE,OVERALL,OVR,,,,
2015,2015,AL,Alabama,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,300.8,300.8,,,296.3,305.4,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,CVD,CVD1_1,AGEADJRATE,OVERALL,OVR,,,,
2018,2018,AR,Arkansas,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,278.9,278.9,,,273.5,284.3,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,CVD,CVD1_1,AGEADJRATE,OVERALL,OVR,,,,
2012,2012,AK,Alaska,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,190.4,190.4,,,177.4,203.4,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,CVD,CVD1_1,AGEADJRATE,OVERALL,OVR,,,,
2012,2012,AL,Alabama,NVSS,Cardiovascular Disease,Mortality from total cardiovascular diseases,,"cases per 100,000",Age-adjusted Rate,294.4,294.4,,,289.7,299,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,CVD,CVD1_1,AGEADJRATE,OVERALL,OVR,,,,
