YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2017,2017,AL,Alabama,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.48,0.48,,,0.48,0.48,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2014,2014,MS,Mississippi,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.48,0.48,,,0.47,0.48,Overall,Overall,,,,,POINT (-89.53803082499968 32.745510099000455),,28,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2017,2017,CA,California,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.49,0.49,,,0.49,0.49,Overall,Overall,,,,,POINT (-120.99999953799971 37.63864012300047),,06,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2014,2014,IL,Illinois,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.47,0.47,,,0.47,0.47,Overall,Overall,,,,,POINT (-88.99771017799969 40.48501028300046),,17,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2013,2013,ND,North Dakota,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.45,0.45,,,0.44,0.45,Overall,Overall,,,,,POINT (-100.11842104899966 47.47531977900047),,38,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2010,2010,MI,Michigan,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.45,0.45,,,0.45,0.45,Overall,Overall,,,,,POINT (-84.71439026999968 44.6613195430005),,26,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2013,2013,NC,North Carolina,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.47,0.47,,,0.47,0.47,Overall,Overall,,,,,POINT (-79.15925046299964 35.466220975000454),,37,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2017,2017,UT,Utah,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.43,0.43,,,0.42,0.43,Overall,Overall,,,,,POINT (-111.58713063499971 39.360700171000474),,49,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2010,2010,RI,Rhode Island,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.46,0.46,,,0.45,0.46,Overall,Overall,,,,,POINT (-71.52247031399963 41.70828019300046),,44,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2018,2018,AL,Alabama,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.48,0.48,,,0.48,0.48,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2016,2016,VT,Vermont,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.44,0.44,,,0.44,0.45,Overall,Overall,,,,,POINT (-72.51764079099962 43.62538123900049),,50,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2013,2013,VA,Virginia,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.46,0.46,,,0.46,0.46,Overall,Overall,,,,,POINT (-78.45789046299967 37.54268067400045),,51,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2018,2018,WA,Washington,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.46,0.46,,,0.46,0.46,Overall,Overall,,,,,POINT (-120.47001078999972 47.52227862900048),,53,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2012,2012,AL,Alabama,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.48,0.48,,,0.48,0.48,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2013,2013,AR,Arkansas,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.46,0.46,,,0.46,0.47,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2010,2010,AK,Alaska,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.41,0.41,,,0.41,0.42,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2012,2012,AR,Arkansas,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.47,0.47,,,0.47,0.48,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2016,2016,AR,Arkansas,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.47,0.47,,,0.47,0.47,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2015,2015,AK,Alaska,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.42,0.42,,,0.41,0.42,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2011,2011,AL,Alabama,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.47,0.47,,,0.47,0.47,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2013,2013,AL,Alabama,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.47,0.47,,,0.47,0.47,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2010,2010,AL,Alabama,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.47,0.47,,,0.47,0.47,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2017,2017,AR,Arkansas,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.47,0.47,,,0.47,0.48,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2011,2011,AR,Arkansas,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.46,0.46,,,0.46,0.46,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2016,2016,AK,Alaska,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.42,0.42,,,0.41,0.42,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2014,2014,AL,Alabama,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.47,0.47,,,0.47,0.48,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2012,2012,AK,Alaska,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.42,0.42,,,0.41,0.42,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2017,2017,AK,Alaska,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.42,0.42,,,0.41,0.42,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2014,2014,AR,Arkansas,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.47,0.47,,,0.46,0.47,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2013,2013,AK,Alaska,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.41,0.41,,,0.41,0.42,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2010,2010,AR,Arkansas,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.46,0.46,,,0.46,0.46,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2011,2011,AK,Alaska,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.41,0.41,,,0.4,0.42,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2015,2015,AL,Alabama,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.48,0.48,,,0.47,0.48,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2016,2016,AL,Alabama,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.48,0.48,,,0.48,0.48,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
2015,2015,AR,Arkansas,ACS 5-Year Estimates,Overarching Conditions,Gini Index of income inequality,,,Number,0.47,0.47,,,0.47,0.47,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,OVC,OVC9_0,NMBR,OVERALL,OVR,,,,
