YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2012,2012,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,25.7,25.7,,,24,27.5,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2018,2018,AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,36.5,36.5,,,34.9,38.3,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2012,2012,AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,32.8,32.8,,,31.3,34.4,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2014,2014,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,29.8,29.8,,,27.9,31.7,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2014,2014,AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,33.9,33.9,,,32.3,35.4,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2018,2018,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,29.4,29.4,,,26.9,32,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,32.2,32.2,,,29.3,35.2,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2016,2016,AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,36.1,36.1,,,34.4,37.7,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2019,2019,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,30.7,30.7,,,28,33.6,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
2015,2015,AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,,%,Age-adjusted Prevalence,30.3,30.3,,,27.9,32.7,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,,,,
